Ref.Data,Citta,Zona,Address,Price,Dimension (m2),Floor,Ascensore,Rooms,Bathrooms,Build.Date,Stato
09/05/2023,Torino,Rebaudengo,via porpora 39,59000,50,0,1,2,1,1960,Buono / Abitabile
09/05/2023,Torino,Barriera di Milano,via Francesco Cigna 118,89000,85,6,1,3,1,1960,Buono / Abitabile
09/05/2023,Torino,Barriera di Milano,corso Giulio Cesare,99000,125,4,1,5,1,1970,Buono / Abitabile
09/05/2023,Torino,Rebaudengo,via Rocco Scotellaro 63,115000,90,0,0,4,1,1970,Buono / Abitabile
09/05/2023,Torino,Rebaudengo,corso Vercelli 286,74000,74,8,1,3,1,1968,Buono / Abitabile
09/05/2023,Torino,Barriera di Milano,corso Giulio Cesare 81,54000,75,3,0,3,1,1930,
09/05/2023,Torino,Barriera di Milano,via Candia 7,26000,60,3,0,2,2,1980,Da ristrutturare
09/05/2023,Torino,Barriera di Milano,via Brandizzo,6750,29,3,0,2,1,1980,
09/05/2023,Torino,Barriera di Milano,via largo Sempione,12000,46,0,0,3,1,1980,Buono / Abitabile
09/05/2023,Torino,Regio Parco,corso Giulio Cesare,9000,37,0,0,2,1,1980,Buono / Abitabile
09/05/2023,Torino,Aurora,via Saint Bon 44,43000,40,4,0,2,1,1930,Buono / Abitabile
08/05/2023,Torino,Rebaudengo,via Martorelli 92,129000,146,6,1,5,2,1967,Da ristrutturare
08/05/2023,Torino,Aurora,via Aosta 48,59900,58,6,1,2,1,1960,Buono / Abitabile
08/05/2023,Torino,Aurora,via Alessandria,63000,53,0,1,2,1,1957,Buono / Abitabile
08/05/2023,Torino,Barriera di Milano,via Giovanni Paisiello 10/37,55000,60,3,0,2,1,1950,Buono / Abitabile
07/05/2023,Torino,Aurora,via Bologna,227000,80,4,1,4,1,1980,Nuovo / In costruzione
07/05/2023,Torino,Aurora,via Cigna,177000,80,5,1,3,1,1980,Nuovo / In costruzione
07/05/2023,Torino,Aurora,via Alessandria,215000,90,4,0,4,1,1980,Nuovo / In costruzione
19/09/2022,Torino,Aurora,via Antonio Cecchi,176000,90,2,1,4,1,1980,Nuovo / In costruzione
08/05/2023,Torino,Aurora,via Bra,16477,43,2,0,4,2,1980,
08/05/2023,Torino,Barriera di Milano,via Brandizzo,18240,51,5,0,3,1,1980,
08/05/2023,Torino,Rebaudengo,corso Vercelli,21000,44,0,0,3,1,1980,Buono / Abitabile
08/05/2023,Torino,Aurora,via Cigna,61950,73,0,0,4,1,1980,Buono / Abitabile
08/05/2023,Torino,Aurora,via Pinerolo,38775,59,1,1,3,1,1980,Buono / Abitabile
08/05/2023,Torino,Aurora,corso Novara,31125,48,2,0,3,1,1980,Buono / Abitabile
08/05/2023,Torino,Barriera di Milano,via Courmayeur,29250,34,0,0,3,1,1980,Buono / Abitabile
09/05/2023,Torino,Barriera di Milano,via Montanaro 27,45000,60,1,0,3,1,1950,Buono / Abitabile
07/05/2023,Torino,Aurora,via Clemente Damiano Priocca,240000,100,4,1,4,1,1935,Ottimo / Ristrutturato
08/05/2023,Torino,Aurora,corso Principe Oddone,204000,80,2,1,3,1,1980,Nuovo / In costruzione
08/05/2023,Torino,Aurora,via Cigna,192000,85,3,1,3,1,1980,Nuovo / In costruzione
06/05/2023,Torino,Aurora,corso Regio Parco 5/B,950000,238,9,1,5,3,2002,Ottimo / Ristrutturato
09/05/2023,Torino,Barriera di Milano,via rivarossa 6,124900,80,0,0,4,1,1940,Ottimo / Ristrutturato
08/05/2023,Torino,Aurora,corso Principe Oddone,222000,100,2,1,3,1,1980,Nuovo / In costruzione
06/05/2023,Torino,Barriera di Milano,via BELMONTE 10,29000,60,0,0,2,1,1940,Da ristrutturare
05/05/2023,Torino,Barriera di Milano,via Puccini 20,95000,82,5,1,5,1,1970,Buono / Abitabile
05/05/2023,Torino,Aurora,via camino 16,54000,50,6,1,2,1,1960,Buono / Abitabile
05/05/2023,Torino,Barriera di Milano,via Giovanni Paisiello 10,49900,55,3,0,2,1,1960,Ottimo / Ristrutturato
05/05/2023,Torino,Barriera di Milano,via Brandizzo 27,59000,70,3,1,3,1,1980,Ottimo / Ristrutturato
05/05/2023,Torino,Rebaudengo,piazza Conti di Rebaudengo 3/25,124900,90,3,1,4,1,1960,Ottimo / Ristrutturato
09/05/2023,Torino,Barriera di Milano,via Renato Martorelli 51,160000,80,0,0,1,1,1940,Da ristrutturare
05/05/2023,Torino,Barriera di Milano,via Rondissone,62000,75,4,1,3,1,1980,Da ristrutturare
04/05/2023,Torino,Aurora,via Aosta 16,105000,45,4,1,2,1,1970,Ottimo / Ristrutturato
04/05/2023,Torino,Aurora,corso Emilia,48000,50,4,0,2,1,1980,Buono / Abitabile
04/05/2023,Torino,Barriera di Milano,via Leinì 52,65000,73,1,0,5,2,1960,Buono / Abitabile
04/05/2023,Torino,Barriera di Milano,via Cherubini,79000,70,2,0,3,1,1980,Buono / Abitabile
04/05/2023,Torino,Barriera di Milano,via Scarlatti,59000,58,0,0,2,1,1980,
04/05/2023,Torino,Barriera di Milano,via Renato Martorelli 26,39000,55,5,0,2,1,1940,Buono / Abitabile
03/05/2023,Torino,Barriera di Milano,via Vestignè 4,158000,119,2,0,3,1,1920,Buono / Abitabile
08/05/2023,Torino,Rebaudengo,via Rocco Scotellaro 67,148000,106,0,1,4,2,1970,Ottimo / Ristrutturato
05/05/2023,Torino,Aurora,via Francesco Cigna 41,118000,74,6,1,2,1,1980,
05/05/2023,Torino,Barriera di Milano,piazza Domenico Cimarosa 45,190000,110,7,1,4,1,1980,Ottimo / Ristrutturato
02/05/2023,Torino,Aurora,corso Emilia 30,79000,80,3,1,3,1,1980,Buono / Abitabile
02/05/2023,Torino,Barriera di Milano,via Ruggero Leoncavallo 45,199000,130,8,1,4,2,1950,Ottimo / Ristrutturato
02/05/2023,Torino,Barriera di Milano,via Luigi Salvatore Cherubini 20,30900,55,5,0,2,1,1970,Buono / Abitabile
09/05/2023,Torino,Aurora,corso Brescia 28,149000,91,4,1,3,1,1980,Buono / Abitabile
04/05/2023,Torino,Aurora,corso Emilia 30,129000,81,2,1,3,1,1950,Ottimo / Ristrutturato
01/05/2023,Torino,Aurora,corso Principe Oddone 50,72000,68,2,1,2,1,1930,Ottimo / Ristrutturato
08/05/2023,Torino,Barriera di Milano,via Desana,191000,85,5,1,3,1,1980,Nuovo / In costruzione
