Ref.Data,Citta,Zona,Address,Price,Dimension (m2),Floor,Ascensore,Rooms,Bathrooms,Build.Date,Stato,longitude,latitude
09/05/2023,Torino,Rebaudengo,via porpora 39,59000,50,0,1,2,1,1960,Buono / Abitabile,7.696602,45.1003173
09/05/2023,Torino,Barriera di Milano,via Francesco Cigna 118,89000,85,6,1,3,1,1960,Buono / Abitabile,7.6860267,45.0926327
09/05/2023,Torino,Barriera di Milano,corso Giulio Cesare,99000,125,4,1,5,1,1970,Buono / Abitabile,7.71119,45.1187164
09/05/2023,Torino,Rebaudengo,via Rocco Scotellaro 63,115000,90,0,0,4,1,1970,Buono / Abitabile,7.703156,45.1092801
09/05/2023,Torino,Rebaudengo,corso Vercelli 286,74000,74,8,1,3,1,1968,Buono / Abitabile,7.6983829,45.1116385
09/05/2023,Torino,Barriera di Milano,corso Giulio Cesare 81,54000,75,3,0,3,1,1930,,7.6915079,45.0891163
09/05/2023,Torino,Aurora,Palazzo - Edificio in Vendita,220000,360,3,0,1,1,1950,Buono / Abitabile,,
09/05/2023,Torino,Barriera di Milano,via Candia 7,26000,60,3,0,2,2,1980,Da ristrutturare,7.6965467,45.0896847
09/05/2023,Torino,Barriera di Milano,via Brandizzo,6750,29,3,0,2,1,1980,,7.694818,45.0921211
09/05/2023,Torino,Barriera di Milano,via largo Sempione,12000,46,0,0,3,1,1980,Buono / Abitabile,,
09/05/2023,Torino,Regio Parco,corso Giulio Cesare,9000,37,0,0,2,1,1980,Buono / Abitabile,7.71119,45.1187164
09/05/2023,Torino,Aurora,via Saint Bon 44,43000,40,4,0,2,1,1930,Buono / Abitabile,7.6818024,45.087634
08/05/2023,Torino,Rebaudengo,via Martorelli 92,129000,146,6,1,5,2,1967,Da ristrutturare,,
08/05/2023,Torino,Aurora,via Aosta 48,59900,58,6,1,2,1,1960,Buono / Abitabile,7.6919909,45.0856613
08/05/2023,Torino,Aurora,via Alessandria,63000,53,0,1,2,1,1957,Buono / Abitabile,7.7618189,45.1288349
08/05/2023,Torino,Barriera di Milano,via Giovanni Paisiello 10/37,55000,60,3,0,2,1,1950,Buono / Abitabile,7.6991458,45.0896087
07/05/2023,Torino,Aurora,via Bologna,227000,80,4,1,4,1,1980,Nuovo / In costruzione,7.7136261,45.0921271
07/05/2023,Torino,Aurora,via Cigna,177000,80,5,1,3,1,1980,Nuovo / In costruzione,7.6861968,45.0930802
07/05/2023,Torino,Aurora,via Alessandria,215000,90,4,0,4,1,1980,Nuovo / In costruzione,7.7618189,45.1288349
19/09/2022,Torino,Aurora,via Antonio Cecchi,176000,90,2,1,4,1,1980,Nuovo / In costruzione,7.6802712,45.0878802
08/05/2023,Torino,Aurora,via Bra,16477,43,2,0,4,2,1980,,7.6869788,45.0860567
08/05/2023,Torino,Barriera di Milano,via Brandizzo,18240,51,5,0,3,1,1980,,7.694818,45.0921211
08/05/2023,Torino,Rebaudengo,corso Vercelli,21000,44,0,0,3,1,1980,Buono / Abitabile,7.7082577,45.1182925
08/05/2023,Torino,Aurora,via Cigna,61950,73,0,0,4,1,1980,Buono / Abitabile,7.6861968,45.0930802
