Ref.Data,Citta,Zona,Address,Price,Dimension (m2),Floor,Ascensore,Rooms,Bathrooms,Build.Date,Stato
08/05/2023,Torino,Aurora,via Saint Bon 44,43000,40,4,No,2,1,1930,Buono / Abitabile
08/05/2023,Torino,Lingotto,via Thonon 6/B,159000,90,1,Si,4,1,1910,Da ristrutturare
08/05/2023,Torino,Quadrilatero Romano,via San Francesco d'Assisi 14,230000,58,3,Si,2,1,1800,Buono / Abitabile
08/05/2023,Torino,Parco Dora,corso Umbria 16,185000,75,4,Si,3,1,2006,Ottimo / Ristrutturato
08/05/2023,Torino,Borgo Vittoria,via Natale Palli 10,39000,60,0,Si,2,1,1970,Buono / Abitabile
08/05/2023,Torino,Cenisia,via crissolo 2,169000,83,1,Si,3,1,1960,Ottimo / Ristrutturato
08/05/2023,Torino,Santa Rita,corso Sebastopoli 202,355000,160,5,Si,5,2,1950,Ottimo / Ristrutturato
08/05/2023,Torino,San Salvario - Dante,via Gaetano Donizetti 2,295000,97,2,Si,4,2,1955,Buono / Abitabile
08/05/2023,Torino,Parella,via Giacinto Pacchiotti 48,77000,60,0,No,2,1,1960,Ottimo / Ristrutturato
08/05/2023,Torino,Mirafiori Sud - Strada del Drosso,corso Orbassano 398,900000,510,3,No,5,3,1960,Buono / Abitabile
08/05/2023,Torino,San Paolo,via Entracque 1,148000,70,3,Si,2,1,1950,Buono / Abitabile
08/05/2023,Torino,Santa Rita,via Boston 86,270000,100,6,Si,4,1,1960,Ottimo / Ristrutturato
08/05/2023,Torino,Cenisia,via Di Nanni 81,123000,75,3,No,2,1,1960,Ottimo / Ristrutturato
08/05/2023,Torino,Cenisia,corso ferrucci 96,267000,103,6,Si,4,1,1968,Buono / Abitabile
20/03/2023,Torino,Lucento,via Borgomasino 2,34557,58,5,No,2,5,1960,Da ristrutturare
08/05/2023,Torino,Lingotto,corso Eusebio Giambone 63,410000,240,1,Si,5,3,1970,Buono / Abitabile
08/05/2023,Torino,Borgo Vittoria,via Breglio 71,49000,55,2,Si,2,1,1960,Buono / Abitabile
08/05/2023,Torino,Cenisia,via venasca 27,157000,70,2,No,3,1,1960,Ottimo / Ristrutturato
08/05/2023,Torino,Pozzo Strada,via Bionaz 9,43000,35,0,No,2,1,1970,Buono / Abitabile
08/05/2023,Torino,Cenisia,via dante di nanni 81,148000,110,2,No,4,1,1960,Buono / Abitabile
08/05/2023,Torino,Santa Rita,corso Racconigi 243,180000,85,9,Si,3,1,1960,Ottimo / Ristrutturato
08/05/2023,Torino,Cenisia,via Fratelli Bandiera 5,438000,155,7,Si,5,2,1960,Buono / Abitabile
08/05/2023,Torino,Santa Rita,via Bainsizza 5,198000,90,1,No,3,1,1900,Ottimo / Ristrutturato
08/05/2023,Torino,Borgo Vittoria,via bibiana 8,109000,75,0,No,3,1,1940,Buono / Abitabile
08/05/2023,Torino,Santa Rita,corso Unione Sovietica,198000,119,2,Si,4,1,1970,Buono / Abitabile
08/05/2023,Torino,Mirafiori Sud - Onorato Vigliani,via onorato vigliani 196,59000,55,2,Si,2,1,1965,Buono / Abitabile
08/05/2023,Torino,Aurora,via Aosta 48,59900,58,6,Si,2,1,1960,Buono / Abitabile
08/05/2023,Torino,Cenisia,via germanasca 37,95000,30,5,Si,1,1,1960,Ottimo / Ristrutturato
08/05/2023,Torino,Borgo Vittoria,via Giovanni Randaccio 2,86000,86,0,Si,3,1,1964,Buono / Abitabile
08/05/2023,Torino,Mirafiori Nord,corso Orbassano 288,135000,80,4,Si,3,1,1965,Buono / Abitabile
08/05/2023,Torino,Borgo Vittoria,via Michele Coppino 43,149000,144,2,Si,4,1,1960,Buono / Abitabile
08/05/2023,Torino,Pozzo Strada,via Monte Ortigara 65,125000,65,1,Si,2,1,,Buono / Abitabile
08/05/2023,Torino,Aurora,via Alessandria,63000,53,0,Si,2,1,1957,Buono / Abitabile
08/05/2023,Torino,Mirafiori Nord,corso Orbassano 254,120000,85,1,Si,3,1,1965,Da ristrutturare
08/05/2023,Torino,Santa Rita,via Tripoli 1,140000,80,3,Si,3,1,1960,Buono / Abitabile
08/05/2023,Torino,Lingotto,via Giovanni Spano 22,79000,54,2,Si,2,1,1960,Buono / Abitabile
08/05/2023,Torino,San Donato,via Raffaello Lambruschini 10,219000,100,1,No,4,2,1900,Buono / Abitabile
08/05/2023,Torino,Pozzo Strada,via Francesco De Sanctis 17A,129000,66,2,Si,2,1,1966,Buono / Abitabile
08/05/2023,Torino,Barriera di Milano,via Giovanni Paisiello 10/37,55000,60,3,No,2,1,1950,Buono / Abitabile
08/05/2023,Torino,Pozzo Strada,via Postumia 17,69000,52,4,Si,2,1,1956,Buono / Abitabile
08/05/2023,Torino,Lucento,via Verolengo,89000,80,3,No,3,1,1950,Ottimo / Ristrutturato
08/05/2023,Torino,Gran Madre - Crimea,via Curtatone 5,315000,130,0,No,5,1,1900,Buono / Abitabile
07/05/2023,Torino,Parella,via Exilles,179000,65,2,Si,2,1,,Nuovo / In costruzione
07/05/2023,Torino,Nizza Millefonti,via Stellone,162000,70,3,No,3,1,,Nuovo / In costruzione
07/05/2023,Torino,Cenisia,via Revello,191000,55,5,Si,2,1,,Nuovo / In costruzione
07/05/2023,Torino,Barriera di Lanzo,via Quincinetto,241000,90,2,Si,4,2,,Nuovo / In costruzione
07/05/2023,Torino,San Secondo,via Giovanni Camerana,258000,70,7,Si,3,2,,Nuovo / In costruzione
07/05/2023,Torino,Parella,via Baveno,201000,70,7,Si,2,2,,Nuovo / In costruzione
07/05/2023,Torino,Cenisia,via Moretta,206000,75,2,Si,2,1,,Nuovo / In costruzione
07/05/2023,Torino,Nizza Millefonti,via Varazze,188000,80,2,No,4,1,,Nuovo / In costruzione
07/05/2023,Torino,Barriera di Lanzo,via Traversella,158000,80,5,Si,3,1,,Nuovo / In costruzione
07/05/2023,Torino,San Secondo,via Giovanni Camerana,249000,65,4,Si,2,1,,Nuovo / In costruzione
08/05/2023,Torino,Lingotto,via Montevideo 8,219000,125,0,Si,5,2,,Ottimo / Ristrutturato
08/05/2023,Torino,San Donato,via Principessa Clotilde 56,115000,79,2,Si,3,1,1970,Buono / Abitabile
07/05/2023,Torino,Vanchiglietta,corso Belgio,253000,86,3,Si,3,1,,Nuovo / In costruzione
06/02/2023,Torino,Pozzo Strada,corso Peschiera,199000,80,1,Si,3,1,,Nuovo / In costruzione
07/05/2023,Torino,Nizza Millefonti,via Vado,238000,95,1,No,4,1,,Nuovo / In costruzione
07/05/2023,Torino,San Donato,via Luigi Cibrario,366000,130,1,Si,4,2,,Nuovo / In costruzione
07/05/2023,Torino,Parella,corso Francia,232000,85,1,Si,3,1,,Nuovo / In costruzione
07/05/2023,Torino,San Donato,via Goffredo Casalis,278000,85,4,Si,3,2,,Nuovo / In costruzione
07/05/2023,Torino,San Donato,via Vincenzo Maria Miglietti,188000,70,2,Si,3,1,,Nuovo / In costruzione
07/05/2023,Torino,Crocetta,via Sebastiano Caboto,256000,90,1,No,3,1,,Nuovo / In costruzione
19/09/2022,Torino,Crocetta,via Giovanni Da Verazzano,269000,80,4,Si,3,1,,Nuovo / In costruzione
19/09/2022,Torino,Pozzo Strada,corso Peschiera,226000,95,3,No,4,1,,Nuovo / In costruzione
19/09/2022,Torino,Crocetta,via Valeggio,449000,125,2,Si,4,2,,Nuovo / In costruzione
26/03/2023,Torino,Cenisia,via Germanasca,324000,90,2,No,4,1,,Nuovo / In costruzione
19/09/2022,Torino,Pozzo Strada,via Viberti Candido,321000,100,7,Si,3,2,,Nuovo / In costruzione
07/05/2023,Torino,Santa Rita,via Baltimora,231000,85,3,Si,3,1,,Nuovo / In costruzione
19/09/2022,Torino,San Salvario - Dante,via Principe Tommaso,366000,125,3,Si,5,2,,Nuovo / In costruzione
24/04/2023,Torino,Borgo Vittoria,via Campiglia,194000,80,1,Si,3,1,,Nuovo / In costruzione
24/04/2023,Torino,Santa Rita,via Baltimora,326000,120,5,Si,4,2,,Nuovo / In costruzione
07/05/2023,Torino,Madonna di Campagna,via Bernardo Luini,161000,75,1,Si,3,1,,Nuovo / In costruzione
19/09/2022,Torino,Parella,via Nicomede Bianchi,205000,70,3,Si,3,1,,Nuovo / In costruzione
07/05/2023,Torino,Cenisia,via Valdieri,395000,150,1,Si,5,2,,Nuovo / In costruzione
19/09/2022,Torino,Crocetta,corso Galileo Ferraris,583000,170,5,Si,5,2,,Nuovo / In costruzione
07/05/2023,Torino,Crocetta,via Pigafetta,334000,80,2,Si,3,1,,Nuovo / In costruzione
08/05/2023,Torino,San Salvario - Dante,via Gaetano Donizetti 2,149000,75,5,Si,3,1,1965,Da ristrutturare
08/05/2023,Torino,Santa Rita,piazza Basilicata 6,135000,80,8,Si,3,1,1980,Buono / Abitabile
08/05/2023,Torino,Le Vallette,via dei Gladioli 2,85000,89,1,No,4,1,,
07/05/2023,Torino,Parella,via Viverone,165000,70,2,Si,2,1,,Nuovo / In costruzione
07/05/2023,Torino,Pozzo Strada,corso Filippo Brunelleschi,435000,150,8,Si,5,2,,Nuovo / In costruzione
07/05/2023,Torino,Parella,corso Bernardino Telsio,208000,80,1,Si,3,1,,Nuovo / In costruzione
